trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.6, 'e': 0.7603320752608821}",30,0,-132.08491452384524,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
137,False,"{'a': 0.6, 'e': 0.7588129307612413}",20,0,-91.12209448929497,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
138,False,"{'a': 0.6, 'e': 0.7572968215143355}",20,0,-123.96379623749974,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",1
139,False,"{'a': 0.6, 'e': 0.7557837414557255}",20,4,0.3380956771635426,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 0.754273684533089}",20,9,-31.240434010184824,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.7527666447061963}",20,0,-88.96147979787881,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
142,False,"{'a': 0.6, 'e': 0.751262615946886}",30,16,-85.57968592312989,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
143,False,"{'a': 0.6, 'e': 0.7497615922390413}",25,0,-124.71959015989368,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
144,False,"{'a': 0.6, 'e': 0.7482635675785653}",30,3,-130.715667497181,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 1}",1
145,False,"{'a': 0.6, 'e': 0.7467685359733571}",20,7,-57.031087427433334,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
146,False,"{'a': 0.6, 'e': 0.7452764914432887}",25,12,-74.30310701508124,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
147,False,"{'a': 0.6, 'e': 0.7437874280201796}",20,0,-94.12693399378335,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
148,False,"{'a': 0.6, 'e': 0.7423013397477743}",20,0,-58.542935368033426,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
149,False,"{'a': 0.6, 'e': 0.7408182206817179}",25,0,-61.12160025262884,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
150,False,"{'a': 0.6, 'e': 0.7393380648895319}",20,0,-59.40175509133099,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
151,False,"{'a': 0.6, 'e': 0.7378608664505911}",20,11,-15.903178377802838,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.6, 'e': 0.7363866194561001}",25,0,-169.07544242626628,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
153,False,"{'a': 0.6, 'e': 0.7349153180090687}",20,1,-60.306399414706085,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
154,False,"{'a': 0.6, 'e': 0.7334469562242892}",30,19,-25.839779993971437,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.7319815282283126}",35,1,-155.43239406949652,"{0: 24, 1: 0, 2: 6, 3: 2, 4: 2}",1
156,False,"{'a': 0.6, 'e': 0.7305190281594249}",20,5,-12.788365794172757,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.7290594501676237}",20,2,-150.5295978628042,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 3}",1
158,False,"{'a': 0.6, 'e': 0.7276027884145955}",25,0,-37.99058305070346,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
159,False,"{'a': 0.6, 'e': 0.7261490370736909}",30,0,-76.50985587733356,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
160,False,"{'a': 0.6, 'e': 0.7246981903299029}",25,0,-174.48461757855048,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
161,False,"{'a': 0.6, 'e': 0.7232502423798424}",25,0,-60.90297365911744,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
162,False,"{'a': 0.6, 'e': 0.7218051874317158}",20,0,-5.299202106025333,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.6, 'e': 0.7203630197053014}",20,13,-50.58530787873314,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.6, 'e': 0.7189237334319262}",25,10,-101.50130955832994,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 2}",1
165,False,"{'a': 0.6, 'e': 0.7174873228544433}",30,13,-85.83328847532016,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 1}",1
166,False,"{'a': 0.6, 'e': 0.7160537822272085}",20,0,-80.10972773195502,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
